particle_id,vx,vy,vz,px,py,pz,q,nhits
4503668346847232,0.000443358,0.0237931,-6.80641,67.819,-36.7019,-25.5162,-1,10
4503805785800704,0.000443358,0.0237931,-6.80641,-3.0097,10.6623,37.3897,1,11
4504149383184384,0.000443358,0.0237931,-6.80641,-4.91384,-12.4537,-58.7933,1,12
4504286822137856,0.000443358,0.0237931,-6.80641,0.258638,-0.509724,-9.90541,1,12
4504355541614592,0.000443358,0.0237931,-6.80641,-1.47489,-0.29632,-40.3344,-1,11
4504424261091328,0.000443358,0.0237931,-6.80641,0.132925,0.205869,1.9868,-1,10
4504492980568064,0.000443358,0.0237931,-6.80641,-0.45049,0.640775,1.62025,-1,12
4504561700044800,0.000443358,0.0237931,-6.80641,-0.382059,2.64831,1.34246,1,12
4504630419521536,0.000443358,0.0237931,-6.80641,-0.654805,1.61121,-0.69311,-1,13
4504699138998272,0.000443358,0.0237931,-6.80641,0.0952139,0.486014,-0.318877,1,9
4504767858475008,0.000443358,0.0237931,-6.80641,-4.08089,-8.7734,32.308,1,12
4504905297428480,0.000443358,0.0237931,-6.80641,-2.42833,-0.106263,-1.52516,-1,11
4504974016905216,0.000443358,0.0237931,-6.80641,-0.120184,-0.298831,-2.35222,1,15
4505180175335424,0.000443358,0.0237931,-6.80641,-0.480729,0.317846,2.21977,-1,2
4505248894812160,0.000443358,0.0237931,-6.80641,-2.72838,2.89758,8.59539,1,13
4505317614288896,0.000443358,0.0237931,-6.80641,-1.03123,0.750989,2.0498,1,8
4505386333765632,0.000443358,0.0237931,-6.80641,-3.31678,1.74598,6.48717,-1,11
4505455053242368,0.000443358,0.0237931,-6.80641,-27.3726,14.5522,64.0749,1,13
4505592492195840,0.000443358,0.0237931,-6.80641,0.671387,1.74355,1.91864,1,13
4505661211672576,0.000443358,0.0237931,-6.80641,2.62346,8.26916,6.5793,-1,9
4505729931149312,0.000443358,0.0237931,-6.80641,-0.847809,-0.215583,-7.10786,-1,8
4505798650626048,0.000443358,0.0237931,-6.80641,0.0271343,-0.549132,-1.00271,-1,11
4505867370102784,0.000443358,0.0237931,-6.80641,-1.48976,0.130861,-5.76267,1,12
4505936089579520,0.000443358,0.0237931,-6.80641,-1.12349,-0.158251,-3.27189,-1,10
4506004809056256,0.000443358,0.0237931,-6.80641,-0.985794,-0.207808,-0.460494,1,11
4506073528532992,0.000443358,0.0237931,-6.80641,1.22961,-0.67831,1.0213,1,12
4506142248009728,0.000443358,0.0237931,-6.80641,0.226564,-0.230323,0.310879,-1,10
4506210967486464,0.000443358,0.0237931,-6.80641,1.08976,0.0926366,3.21106,-1,13
4506829442777088,0.000443358,0.0237931,-6.80641,0.933469,0.733388,19.1487,-1,12
4506966881730560,0.000443358,0.0237931,-6.80641,0.559114,1.18538,13.3018,-1,10
4507035601207296,0.000443358,0.0237931,-6.80641,-0.157903,0.328024,2.18637,1,13
4507104320684032,0.000443358,0.0237931,-6.80641,0.340759,0.598153,1.15571,-1,9
4507173040160768,0.000443358,0.0237931,-6.80641,0.0521582,0.476162,1.67407,1,8
4507241759637504,0.000443358,0.0237931,-6.80641,0.0957846,0.949287,0.873156,1,8
4507310479114240,0.000443358,0.0237931,-6.80641,0.298659,1.93172,1.25337,-1,10
4507379198590976,0.000443358,0.0237931,-6.80641,-0.37595,0.769529,2.94496,-1,3
4507447918067712,0.000443358,0.0237931,-6.80641,0.58648,0.0106035,2.53834,1,11
4507516637544448,0.000443358,0.0237931,-6.80641,0.424384,0.571833,1.19848,-1,8
4507585357021184,0.000443358,0.0237931,-6.80641,-0.380848,0.377031,3.06287,1,13
4507654076497920,0.000443358,0.0237931,-6.80641,1.11951,0.303687,14.6919,-1,10
4507722795974656,0.000443358,0.0237931,-6.80641,0.55911,-0.29751,12.6775,1,0
4508066393358336,0.000443358,0.0237931,-6.80641,0.951029,-0.299992,15.1633,-1,10
4508135112835072,0.000443358,0.0237931,-6.80641,0.227307,3.06307,4.81943,-1,11
4508203832311808,0.000443358,0.0237931,-6.80641,0.160634,1.28664,1.95783,-1,3
4508272551788544,0.000443358,0.0237931,-6.80641,0.171246,0.037683,-0.990461,1,9
4508341271265280,0.000443358,0.0237931,-6.80641,-0.0846522,1.86102,-3.44178,-1,13
4508409990742016,0.000443358,0.0237931,-6.80641,-0.0783589,0.543326,-0.191253,1,12
4508478710218752,0.000443358,0.0237931,-6.80641,0.243828,0.3488,-0.36029,-1,8
4508547429695488,0.000443358,0.0237931,-6.80641,1.41635,-0.732732,-1.40985,1,10
4508684868648960,0.000443358,0.0237931,-6.80641,-0.153779,-0.0684159,-0.406391,-1,4
4508753588125696,0.000443358,0.0237931,-6.80641,0.149677,-0.3341,-3.56679,1,0
4508822307602432,0.000443358,0.0237931,-6.80641,0.0710334,-0.1726,-0.466444,-1,10
4508891027079168,0.000443358,0.0237931,-6.80641,-0.0571867,0.735526,-4.78795,1,12
4508959746555904,0.000443358,0.0237931,-6.80641,-0.853023,1.24692,-20.4813,1,10
4509646941323264,0.000443358,0.0237931,-6.80641,-0.211039,-0.0396542,-0.312623,-1,8
4509715660800000,0.000443358,0.0237931,-6.80641,0.11638,0.0775679,0.110272,1,0
4509784380276736,0.000443358,0.0237931,-6.80641,0.291195,0.413085,-0.174917,-1,10
4509853099753472,0.000443358,0.0237931,-6.80641,-0.35713,-0.125589,-0.103352,1,10
4509921819230208,0.000443358,0.0237931,-6.80641,-0.0078639,-0.320486,0.053263,-1,10
4509990538706944,0.000443358,0.0237931,-6.80641,0.262899,0.149376,7.76956,-1,13
4510471575044096,0.000443358,0.0237931,-6.80641,-0.290492,-0.20355,5.37163,1,11
4510609013997568,0.000443358,0.0237931,-6.80641,0.185336,0.202578,5.46297,-1,0
4510677733474304,0.000443358,0.0237931,-6.80641,0.0204171,-0.168506,-0.0416674,1,10
4510746452951040,0.000443358,0.0237931,-6.80641,-0.281402,0.0382832,0.185117,1,15
4510815172427776,0.000443358,0.0237931,-6.80641,-0.0660676,-1.28179,-5.00001,1,10
4510883891904512,0.000443358,0.0237931,-6.80641,-0.0378391,-1.53817,-7.74856,-1,14
4510952611381248,0.000443358,0.0237931,-6.80641,-2.52874,-6.82136,-33.1233,1,13
4511090050334720,0.000443358,0.0237931,-6.80641,-0.177448,-0.618983,0.351794,-1,14
4511296208764928,0.000443358,0.0237931,-6.80641,-5.9075,-20.2909,-96.6454,-1,12
4511364928241664,0.000443358,0.0237931,-6.80641,-10.9199,-35.6903,-170.864,1,10
4511433647718400,0.000443358,0.0237931,-6.80641,-8.23824,-26.4168,-126.618,1,11
4511502367195136,0.000443358,0.0237931,-6.80641,-4.09752,-15.0233,-69.6369,-1,10
4511571086671872,0.000443358,0.0237931,-6.80641,-1.59421,-3.61239,-17.6557,-1,10
4511639806148608,0.000443358,0.0237931,-6.80641,-0.555838,-1.36724,-20.0333,1,9
4511708525625344,0.000443358,0.0237931,-6.80641,-0.301704,-0.381109,-4.11271,1,9
4511845964578816,0.000443358,0.0237931,-6.80641,0.363535,-0.392713,-8.71705,1,12
4511914684055552,0.000443358,0.0237931,-6.80641,-0.747561,-0.427724,-12.6833,-1,11
4511983403532288,0.000443358,0.0237931,-6.80641,-0.0914912,-0.127506,0.400788,1,6
4512052123009024,0.000443358,0.0237931,-6.80641,0.2691,-1.08542,4.52132,1,10
4512120842485760,0.000443358,0.0237931,-6.80641,-0.287081,-0.694325,4.55141,-1,14
4512189561962496,0.000443358,0.0237931,-6.80641,-0.289494,-1.10269,5.24043,1,10
4512395720392704,0.000443358,0.0237931,-6.80641,-0.0579923,-0.161474,0.256157,-1,9
4512533159346176,0.000443358,0.0237931,-6.80641,-0.651056,-0.607692,3.34509,1,12
4512601878822912,0.000443358,0.0237931,-6.80641,-0.513397,-1.18435,4.38765,-1,4
4512670598299648,0.000443358,0.0237931,-6.80641,0.103428,0.417446,6.30995,1,11
4512739317776384,0.000443358,0.0237931,-6.80641,-0.400692,0.252021,3.62777,-1,13
4512876756729856,0.000443358,0.0237931,-6.80641,-0.132281,0.653857,-1.22246,-1,13
4512945476206592,0.000443358,0.0237931,-6.80641,0.27503,0.256367,-0.171793,1,10
4513014195683328,0.000443358,0.0237931,-6.80641,-0.188206,-1.65756,-10.2856,1,11
4513082915160064,0.000443358,0.0237931,-6.80641,0.212486,-0.0483208,-1.47994,-1,8
4513289073590272,0.000443358,0.0237931,-6.80641,-1.61367,0.891661,3.34772,1,8
4513357793067008,0.000443358,0.0237931,-6.80641,-4.18645,2.76325,11.3371,-1,11
4513426512543744,0.000443358,0.0237931,-6.80641,-15.4182,10.3492,34.0432,1,8
4513495232020480,0.000443358,0.0237931,-6.80641,-5.80296,3.70154,13.4583,-1,10
4513563951497216,0.000443358,0.0237931,-6.80641,-4.30974,3.24054,9.45759,-1,9
4513632670973952,0.000443358,0.0237931,-6.80641,1.94901,1.32268,2.83842,-1,13
4513701390450688,0.000443358,0.0237931,-6.80641,2.1572,8.11646,6.4082,-1,10
4513770109927424,0.000443358,0.0237931,-6.80641,-0.214886,-0.313827,-1.81782,1,12
4513838829404160,0.000443358,0.0237931,-6.80641,-1.47251,-0.147566,-1.63889,-1,10
4513907548880896,0.000443358,0.0237931,-6.80641,-0.602428,-0.490784,-1.19498,1,13
4513976268357632,0.000443358,0.0237931,-6.80641,-0.679448,-0.878682,-1.30558,-1,12
4514044987834368,0.000443358,0.0237931,-6.80641,-0.139924,0.124827,-0.25743,1,10
4514182426787840,0.000443358,0.0237931,-6.80641,-0.545687,-0.0124301,-0.545614,-1,10
4514251146264576,0.000443358,0.0237931,-6.80641,0.288351,-0.250259,0.955603,1,11
4514319865741312,0.000443358,0.0237931,-6.80641,0.632775,0.357821,1.03609,1,8
